"","vehicle","reg_city","color","assembly","eng_capacity","body_type","location","price","year","km","fuel_type","transmission","link"
"1","Honda Fit X L Package 2015","Un-Registered","Silver","Imported","1500 cc","Dec 19, 2018"," D.H.A, Karachi Sindh","PKR 21.49 lacs","2015","95,339 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/honda-fit-2015-for-sale-in-karachi-3020457"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.pakwheels.com//used-cars/pakwheels-certified/"
"3","Honda Vezel Hybrid Z 2015","Islamabad","Black","Imported","1500 cc","Dec 19, 2018"," Rawalpindi Punjab","Call for price","2015","38,977 km","Hybrid","Automatic","https://www.pakwheels.com//used-cars/honda-vezel-2015-for-sale-in-rawalpindi-2924399"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.pakwheels.com//used-cars/pakwheels-certified/"
"5","Honda Acty Basegrade 2014","Un-Registered","Silver","Imported","660 cc","Dec 19, 2018"," Faisal Town, Lahore Punjab","PKR 8.9 lacs","2014","36,000 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/honda-acty-2014-for-sale-in-lahore-2971150"
"6","Toyota Aqua S 2015","Un-Registered","White","Imported","1496 cc","Dec 19, 2018"," Khalid Bin Walid Road, Karachi Sindh","PKR 20.5 lacs","2015","67,000 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/toyota-aqua-2015-for-sale-in-karachi-3030224"
"7","Suzuki Every PC 2014","Un-Registered","Silver","Imported","660 cc","Dec 19, 2018"," Lahore Punjab","PKR 10.95 lacs","2014","21,800 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/suzuki-every-2014-for-sale-in-lahore-2969886"
"8","Daihatsu Hijet Deluxe 2014","Un-Registered","White","Imported","660 cc","Dec 19, 2018"," Faisal Town, Lahore Punjab","PKR 9.5 lacs","2014","29,000 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/daihatsu-hijet-2014-for-sale-in-lahore-2971115"
"9","Nissan Dayz J 2015","Un-Registered","Burgundy","Imported","660 cc","Dec 19, 2018"," Faisal Town, Lahore Punjab","PKR 12.75 lacs","2015","64,000 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/nissan-dayz-2015-for-sale-in-lahore-2971124"
"10","Honda Acty Basegrade 2013","Un-Registered","White","Imported","660 cc","Dec 19, 2018"," Lahore Punjab","PKR 8.55 lacs","2013","39,000 km","Petrol","Automatic","https://www.pakwheels.com//used-cars/honda-acty-2013-for-sale-in-lahore-2971154"
